[13.651318, 100.492962]
[13.651222333333333, 100.49296116666666]
[13.651221, 100.49296116666666]
[13.651219666666666, 100.492961]
[13.6512185, 100.49296133333333]
[13.651217166666667, 100.49296116666666]
[13.651215833333334, 100.49296116666666]
[13.651214333333334, 100.492961]
[13.651213, 100.49296083333333]
[13.651211833333333, 100.492961]
[13.651210333333333, 100.49296066666666]
[13.651209, 100.49296083333333]
[13.651207666666666, 100.49296066666666]
[13.651206333333333, 100.4929605]
[13.651205, 100.49296066666666]
[13.651203666666667, 100.4929605]
[13.651202166666666, 100.4929605]
[13.651178333333334, 100.49296033333333]
[13.651177, 100.49296033333333]
[13.651175666666667, 100.49296016666666]
[13.651174333333334, 100.49296033333333]
[13.651172833333334, 100.49296016666666]
[13.6511715, 100.49296016666666]
[13.651170166666667, 100.49296016666666]
[13.651168833333333, 100.49296]
[13.651167333333333, 100.49296]
[13.651166, 100.49296016666666]
[13.651164666666666, 100.49296016666666]
[13.651163166666667, 100.49296033333333]
[13.651161833333333, 100.49296016666666]
[13.6511605, 100.49296016666666]
[13.651159166666666, 100.49296016666666]
[13.651157833333333, 100.49296016666666]
[13.6511565, 100.49296016666666]
[13.651155166666667, 100.49296016666666]
[13.651153833333334, 100.49296016666666]
[13.651152333333334, 100.49296033333333]
[13.651151, 100.49296016666666]
[13.651149666666667, 100.49296033333333]
[13.651148166666667, 100.49296033333333]
[13.651146833333334, 100.49296033333333]
[13.651145333333334, 100.49296033333333]
[13.651144, 100.49296033333333]
[13.651142666666667, 100.49296033333333]
[13.651141333333333, 100.4929605]
[13.65114, 100.49296033333333]
[13.651138666666666, 100.4929605]
[13.651137333333333, 100.4929605]
[13.651136, 100.4929605]
[13.651134666666668, 100.4929605]
[13.651133333333334, 100.4929605]
[13.651132, 100.4929605]
[13.651130666666667, 100.4929605]
[13.651129166666667, 100.4929605]
[13.651127833333334, 100.4929605]
[13.6511265, 100.49296066666666]
[13.651125, 100.49296066666666]
[13.651123833333333, 100.49296083333333]
[13.6511225, 100.49296066666666]
[13.651121, 100.49296083333333]
[13.651119833333333, 100.49296083333333]
[13.651118333333333, 100.49296083333333]
[13.651117, 100.49296083333333]
[13.651115666666668, 100.49296083333333]
